gene,tissue,logFC,adj_p_value
ITPKB,Skin,-0.76,0.049748
KCNA4,Skin,-1.07647082,9.98e-06
KCNIP2-AS1,Skin,-0.81734598,1.38e-07
KCNJ3,Skin,0.61192068,0.0221
KCNJ6-AS1,Skin,-2.59527186,1.48e-20
KCNN1,Skin,-1.1885199,0.016
KCP,Skin,-0.93859813,5e-15
KCTD20,Skin,-0.8499508,0.000574
KIAA1522,Skin,-1.09,0.018703
KIF22,Skin,-0.9591345,5.13e-06
KLF1,Skin,-1.2947102,0.0465
KLRC2,Skin,-1.18693909,4.58e-08
KRT32,Skin,-1.03351635,0.0248
KRT74,Skin,-1.02386016,0.0481
L1TD1,Skin,-0.65730664,0.0212
LBX2-AS1,Skin,-0.7354558,9.85e-15
LCE3E,Skin,-0.81469385,0.00197
LCT,Skin,-1.3937428,0.00116
LETR1,Skin,-0.71679174,1.4e-13
LINC00327,Skin,0.63252537,1.68e-07
LINC00574,Skin,-1.0984729,0.0411
LINC00841,Skin,-0.60807317,0.000175
LINC00856,Skin,-1.78637029,4.3e-16
LINC00908,Skin,0.97221937,3.38e-15
LINC00996,Skin,-1.79442078,1.04e-13
LINC01124,Skin,1.20007326,4.58e-14
LINC01153,Skin,0.82606294,0.000761
LINC01229,Skin,0.60622308,0.00607
LINC01254,Skin,0.77249758,3.59e-06
LINC01362,Skin,0.91407023,1.11e-10
LINC01374,Skin,-0.70665402,0.00029
LINC01375,Skin,-0.7940062,2.18e-06
LINC01589,Skin,0.68920305,2.96e-08
LINC01605,Skin,-0.64158903,4.49e-05
LINC01611,Skin,1.11605245,3.06e-07
LINC01614,Skin,-2.53675621,5e-15
LINC01616,Skin,-1.2245731,0.000163
LINC01684,Skin,-1.13738737,5.94e-15
LINC01794,Skin,0.72512961,1.3e-05
LINC01805,Skin,0.66305339,1.16e-07
LINC01808,Skin,0.68541401,0.000152
LINC01921,Skin,0.61146489,0.00027
LINC02009,Skin,-0.9537118,0.000473
LINC02024,Skin,1.35608886,1.08e-12
LINC02169,Skin,1.63096707,6.77e-05
LINC02223,Skin,-0.87974318,5.93e-05
LINC02242,Skin,0.8059469,0.000575
LINC02277,Skin,0.81451782,0.000926
LINC02384,Skin,-1.29447072,3.27e-10
LINC02541,Skin,0.60123817,1.4e-08
LINC02544,Skin,-1.7529014,7.88e-15
LINC02587,Skin,-0.59714971,1.23e-05
LINC02747,Skin,0.90870868,5.42e-14
LINC02773,Skin,-1.22248178,2.62e-22
LINC02842,Skin,1.02030143,6.7e-10
LINC02844,Skin,0.61466155,0.00048
LINC02889,Skin,-1.0888076,4.26e-11
LINC02947,Skin,-0.75144129,5.69e-06
LINC02996,Skin,-2.06674388,2.71e-07
LINCADL,Skin,-2.00183904,1.25e-08
LIPI,Skin,0.60561531,5.63e-06
LNCSRLR,Skin,-0.71909112,2.47e-07
LOC100130331,Skin,-1.3971907,0.0264
LOC100287869,Skin,-0.731,0.026161
LOC100505851,Skin,0.59509587,0.0366
LOC100506474,Skin,-1.01598012,5.72e-10
LOC100507002,Skin,0.60112669,1.01e-06
LOC100507403,Skin,-0.8189975,3.11e-06
LOC100507560,Skin,1.63115647,1.87e-11
LOC100996318,Skin,-0.73620772,4.5e-06
LOC101448202,Skin,-0.98251553,3.03e-09
LOC101927293,Skin,-1.18651857,1.03e-15
LOC101927414,Skin,-0.67599091,0.000215
LOC101927712,Skin,-0.84586503,1.13e-06
LOC101927745,Skin,-0.84653841,8.26e-07
LOC101927787,Skin,0.64556816,1.41e-05
LOC101927914,Skin,-0.9280999,4.35e-05
LOC101927995,Skin,-1.26916453,3.46e-19
LOC101928047,Skin,0.86087783,0.0177
LOC101928214,Skin,-1.41767141,6.73e-29
LOC101928228,Skin,-0.61650101,3.66e-05
LOC101928663,Skin,-0.88735119,1.08e-09
LOC101928940,Skin,-0.65563605,2.69e-05
LOC101929216,Skin,-1.0789513,0.000112
LOC101929256,Skin,-0.88970424,5.7e-18
LOC101929319,Skin,-0.99459404,6.45e-05
LOC101929532,Skin,-1.51605438,9.080000000000001e-21
LOC101930071,Skin,-0.72590832,2.26e-05
LOC102723395,Skin,-0.89833053,4.19e-10
LOC102723529,Skin,-1.9358033,7.98e-09
LOC102723635,Skin,-1.25210627,5.38e-12
LOC102723834,Skin,-0.61872986,8.45e-05
LOC102723896,Skin,0.75497841,8.85e-08
LOC102723906,Skin,-0.59272419,0.00419
LOC102723971,Skin,0.90481641,2.53e-06
LOC102724068,Skin,-0.67060559,1.65e-05
LOC102724122,Skin,-0.61410039,0.00623
LOC102724507,Skin,-0.83606194,6.37e-07
LOC102724572,Skin,-1.27715721,1.08e-11
LOC102724731,Skin,0.60590247,1.44e-05
LOC102724874,Skin,-2.0975448,5.57e-19
LOC105369309,Skin,-0.76671998,3.16e-08
LOC105369388,Skin,-1.05468653,8.4e-25
LOC105369463,Skin,-1.45081718,2.95e-12
LOC105369558,Skin,-1.44021371,4.23e-13
LOC105369559,Skin,-1.28878795,2.98e-14
LOC105369561,Skin,-1.33961579,2.18e-13
LOC105369565,Skin,-0.70912138,1.67e-05
LOC105369682,Skin,-0.79589638,7.13e-07
LOC105369869,Skin,-0.58798993,3.32e-07
LOC105369881,Skin,1.21580517,2.46e-07
LOC105370069,Skin,0.73968144,6.27e-05
LOC105370178,Skin,-1.02137443,5.3e-05
LOC105370345,Skin,0.67640132,0.000786
LOC105370472,Skin,1.00298088,7.58e-05
LOC105370733,Skin,0.89735607,0.00908
LOC105370773,Skin,0.61941588,0.000564
LOC105370786,Skin,-0.72731731,8.97e-13
LOC105370993,Skin,-0.76593168,2.33e-06
LOC105371080,Skin,-0.65857159,5.68e-07
LOC105371307,Skin,0.64126388,1.36e-06
LOC105371314,Skin,-0.8672007,3.66e-10
LOC105371464,Skin,-0.71178759,3.68e-10
LOC105371611,Skin,-0.67444864,7.61e-11
LOC105371665,Skin,0.9348465,4.16e-10
LOC105371667,Skin,0.65519869,0.000422
LOC105371873,Skin,-0.63471536,8.58e-09
LOC105371988,Skin,0.86368581,1.19e-06
LOC105372190,Skin,-1.08362531,1.53e-12
LOC105372249,Skin,-0.63380715,0.000314
LOC105372255,Skin,0.59629389,1.63e-08
LOC105372630,Skin,0.77352545,7.05e-08
LOC105372639,Skin,-1.42724065,2.61e-11
LOC105372659,Skin,-0.89003459,2.99e-10
LOC105372703,Skin,0.68202765,0.00332
LOC105372801,Skin,-1.0702668,7.69e-09
LOC105372898,Skin,-0.68306269,0.0098
LOC105373067,Skin,0.75026348,2.6e-05
LOC105373083,Skin,0.97886124,8.64e-13
LOC105373156,Skin,-0.60961449,9.68e-05
LOC105373209,Skin,0.73377172,1.41e-05
LOC105373459,Skin,0.72048516,4.19e-06
LOC105373485,Skin,0.59923759,1.36e-06
LOC105373549,Skin,-0.60733969,0.0322
LOC105373551,Skin,-0.58801554,0.0211
LOC105373648,Skin,1.25858933,2.81e-14
LOC105373649,Skin,1.16337799,7.18e-12
LOC105373876,Skin,0.70231304,6.19e-06
LOC105373905,Skin,-1.41545766,5.44e-17
LOC105373953,Skin,-0.76517439,1.5e-05
LOC105373986,Skin,-0.63795723,0.0163
LOC105374056,Skin,1.34886553,1.53e-13
LOC105374071,Skin,-0.75538255,1.33e-08
LOC105374284,Skin,-0.71636188,0.000833
LOC105374294,Skin,0.82371015,1.06e-05
LOC105374314,Skin,1.49718178,0.00751
LOC105374338,Skin,0.65160313,5.4e-10
LOC105374371,Skin,-0.60013027,0.000533
LOC105374386,Skin,0.63423222,2.48e-08
LOC105374412,Skin,-1.40458862,8.6e-17
LOC105374413,Skin,-1.14762488,7.15e-10
LOC105374506,Skin,-0.73662502,3.86e-05
LOC105374524,Skin,-0.82700011,0.000264
LOC105374541,Skin,-2.14921731,4.18e-19
LOC105374542,Skin,-1.97272746,2.98e-15
LOC105374545,Skin,-2.29813621,1.11e-19
LOC105374646,Skin,0.82827044,2.3e-19
LOC105374682,Skin,0.65152999,0.00061
LOC105374848,Skin,-0.84834647,0.00362
LOC105374949,Skin,0.82664417,6.02e-08
LOC105374981,Skin,-0.73726794,1.07e-06
LOC105375080,Skin,-0.90488568,1.46e-14
LOC105375179,Skin,0.73829078,1.76e-06
LOC105375183,Skin,0.60935763,0.00509
LOC105375247,Skin,-0.68576929,7.4e-06
LOC105375249,Skin,-2.12959544,7.87e-20
LOC105375532,Skin,-1.06463817,9.55e-15
LOC105375610,Skin,-0.82312256,0.002
LOC105375614,Skin,-0.62718843,0.0025
LOC105375814,Skin,0.98588602,0.0445
LOC105375858,Skin,0.58992431,0.000911
LOC105375909,Skin,-2.10033426,2.17e-18
LOC105375916,Skin,-2.12374218,1.81e-24
LOC105375977,Skin,-1.27111389,3.2e-11
LOC105376020,Skin,-0.69799389,0.00342
LOC105376023,Skin,0.7498784,1.46e-06
LOC105376126,Skin,-1.19981033,1.63e-13
LOC105376219,Skin,-0.82761396,0.000459
LOC105376269,Skin,-0.66060003,3.36e-08
LOC105376397,Skin,0.7548723,2.34e-05
LOC105376398,Skin,0.76550071,8.37e-08
LOC105376399,Skin,0.64485197,4.16e-07
LOC105376426,Skin,-0.59844166,3.72e-11
LOC105376476,Skin,0.71091539,0.00181
LOC105376572,Skin,0.61407625,6.06e-06
LOC105376845,Skin,0.6767173,3.63e-10
LOC105376850,Skin,0.59624414,3.66e-06
LOC105377291,Skin,-0.71210121,2.9100000000000002e-21
LOC105377406,Skin,0.79240296,2.4e-08
LOC105377483,Skin,0.83083827,2.32e-09
LOC105377506,Skin,-0.59044598,0.000131
LOC105377571,Skin,-0.59257816,0.000436
LOC105377572,Skin,-0.99196823,3.77e-08
LOC105377743,Skin,-0.78010381,1.62e-09
LOC105377989,Skin,-0.59099918,4.09e-06
LOC105378029,Skin,-1.09127384,8.84e-05
LOC105378148,Skin,0.8556147,5.57e-10
LOC105378281,Skin,-0.91651544,3.83e-21
LOC105378283,Skin,0.64785099,0.0417
LOC105378339,Skin,0.66950306,0.00023
LOC105378406,Skin,0.72702394,3.58e-06
LOC105378443,Skin,-0.60779087,8.32e-12
LOC105378485,Skin,-0.93412525,5.87e-11
LOC105378486,Skin,-1.01236737,0.000934
LOC105378515,Skin,0.87420527,4.66e-05
LOC105378608,Skin,-0.64281536,0.000237
LOC105378813,Skin,0.62469781,0.0117
LOC105378920,Skin,0.72943787,7e-05
LOC105378968,Skin,-0.59620269,8.64e-05
LOC105379070,Skin,1.76287938,5.78e-25
LOC105379179,Skin,0.77705625,0.0162
LOC105379814,Skin,-0.84664671,2.54e-05
LOC107984007,Skin,-0.63282627,0.0159
LOC107984131,Skin,-0.73145311,3.81e-13
LOC107984268,Skin,-0.74637274,0.0154
LOC107984429,Skin,-0.85808207,7.7e-17
LOC107984543,Skin,0.63541918,4.25e-06
LOC107984548,Skin,-0.83619328,1.03e-06
LOC107984585,Skin,0.80739233,1.51e-07
LOC107984689,Skin,-0.74407547,4.83e-07
LOC107984755,Skin,-0.71506022,2.39e-07
LOC107984945,Skin,-1.24412197,1.59e-10
LOC107984998,Skin,-0.7914841,1.73e-12
LOC107985037,Skin,0.64821688,2.81e-11
LOC107985054,Skin,-0.86374869,4.15e-12
LOC107985063,Skin,-0.66331989,2.19e-05
LOC107985134,Skin,-0.9707384,2.45e-21
LOC107985156,Skin,0.7477471,3.9e-06
LOC107985410,Skin,-0.65629138,0.000191
LOC107985499,Skin,0.85298865,5.99e-06
LOC107985573,Skin,-0.6379111,0.000206
LOC107985679,Skin,0.6470836,1.71e-06
LOC107985773,Skin,-0.66944353,2.9e-08
LOC107985779,Skin,1.22910322,5.1e-18
LOC107986171,Skin,1.0227214,0.000186
LOC107986217,Skin,-0.86583851,8.02e-10
LOC107986275,Skin,0.73822793,0.000196
LOC107986279,Skin,0.66372556,0.00259
LOC107986290,Skin,-0.62348842,1.5e-10
LOC107986314,Skin,-0.68831325,0.000536
LOC107986380,Skin,0.70920111,0.000553
LOC107986406,Skin,-0.87707361,8.41e-07
LOC107986437,Skin,-0.65959539,3.9e-08
LOC107986619,Skin,1.15446466,1.7e-10
LOC107986620,Skin,1.10672878,1.42e-08
LOC107986789,Skin,-1.19319227,4.25e-13
LOC107986850,Skin,-0.8308331,9.34e-10
LOC107986853,Skin,-0.97381011,4.29e-11
LOC107986910,Skin,0.86136366,3.11e-13
LOC107986919,Skin,0.59672738,9.24e-05
LOC107987132,Skin,-0.60817106,0.000201
LOC107987208,Skin,-0.6345109,0.00024
LOC107987289,Skin,0.59983391,1.13e-05
LOC112267859,Skin,-0.88223334,2.3e-08
LOC112267876,Skin,-1.75327883,1.22e-17
LOC112267905,Skin,-0.93873869,1.03e-07
LOC112267944,Skin,-0.58780221,5.14e-05
LOC112267956,Skin,-0.66042005,0.00375
LOC112268080,Skin,-0.83853992,2.23e-05
LOC112268081,Skin,-0.90756425,2.38e-09
LOC112268086,Skin,-1.17651077,1.14e-22
LOC112268304,Skin,-0.88968491,3e-07
LOC112268323,Skin,0.66629577,0.00322
LOC112268430,Skin,-1.08956254,2.17e-10
LOC112268463,Skin,-0.96651927,8.7e-08
LOC145783,Skin,-0.945,0.042062
LOC221946,Skin,-0.61935813,2.63e-07
LOC284933,Skin,0.98660272,1.21e-10
LOC284950,Skin,0.6303252,4.57e-05
LOC392232,Skin,-1.12029147,2.19e-11
LOC613206,Skin,-0.63353256,4.26e-12
LRFN5-DT,Skin,0.6538144,4.37e-06
LRRC37A11P,Skin,0.70392668,8.3e-05
LRRC58-DT,Skin,-0.66144581,3.03e-09
LTBP3,Skin,-0.8987399,0.000105
LUZP2,Skin,-2.54077909,1.14e-30
LY6G6C,Skin,-1.0787529,2.34e-05
LYPLA2,Skin,-1.2593676,0.00653
MADCAM1,Skin,-0.9030811,0.0156
MC3R,Skin,-1.5885282,0.00884
MC5R,Skin,-1.7862432,0.0134
MDGA2,Skin,0.88573201,2.6e-12
MECOM-AS1,Skin,-0.67397435,1.09e-05
MIR181A1HG,Skin,-0.61239126,4.33e-06
MIR198,Skin,-0.74373994,8.54e-12
MIR4649,Skin,-0.82807982,1.17e-06
MIR675,Skin,-1.84411247,6.56e-15
MKRN9P,Skin,1.15286069,4.11e-08
MLN,Skin,-1.481042,0.0449
MMP17,Skin,-1.1523198,0.0228
NAT8L,Skin,-1.07533066,1.48e-05
NCF4-AS1,Skin,-0.82100707,2.77e-09
NEUROG1,Skin,-1.223812,0.00718
NFKBIL1,Skin,-0.634383,0.000546
NGFR-AS1,Skin,-0.81620375,1.04e-06
NHERF1,Skin,-0.602776,4.22e-05
NKILA,Skin,-0.61354787,3.99e-05
NME8,Skin,-0.64054968,0.000283
NOBOX,Skin,0.70607032,3.05e-05
NR1H2,Skin,-0.9291032,3.16e-05
NRXN2-AS1,Skin,-0.83063128,4.03e-06
NTN1,Skin,0.63196757,2.38e-10
NUGGC,Skin,-0.72865196,1.7e-06
OR10H1,Skin,-1.3900076,0.0202
OR7E2P,Skin,-1.49187553,1.98e-22
OSM,Skin,-1.15947337,3.31e-08
PARM1,Skin,0.8259363,0.000154
PCDH11X,Skin,-1.4405907,0.0308
PCDHB1,Skin,-1.073666,0.0355
PEX16,Skin,-0.6066623,0.00253
PKP3,Skin,-1.1101168,2.05e-05
PLA2G16,Skin,1.59,0.048144
PLAAT5,Skin,-0.73878889,0.000852
PLEKHH3,Skin,-3.2281715,4.04e-05
PLK1,Skin,0.9193472,0.0377
PMF1,Skin,-0.6470245,6.71e-05
PMM2,Skin,0.6305902,4.6e-05
POLR1F,Skin,-0.7121275,0.00395
PPIEL,Skin,-1.2135111,0.0193
PRPH2,Skin,-0.6017486,0.00169
PRRG3,Skin,0.67292166,7.84e-06
PRRT4,Skin,-0.94426975,4.13e-07
PRSS35,Skin,-0.61418555,0.00104
PSG11,Skin,-2.6976163,0.000475
PSORS1C2,Skin,-0.6088449,0.0186
PTPN14,Skin,-0.8181183,4.97e-05
PTPRVP,Skin,0.62203261,1.45e-08
PYCR1,Skin,-0.83129791,1.05e-11
PYDC5,Skin,-0.58723643,2.4e-06
RAB30,Skin,-1.1804471,1.25e-05
RAD51D,Skin,-0.7685581,0.00027
RAD52,Skin,-0.9539013,0.00111
RASGRF2-AS1,Skin,-0.83189962,5.12e-08
RBMS3-AS1,Skin,-0.84493944,3.8e-15
REEP6,Skin,-0.846,0.0179
REREP3,Skin,-0.92035554,0.000679
RFX8,Skin,-0.71601441,1.89e-09
RIC3-DT,Skin,0.63081177,0.00372
RNF112,Skin,0.58821072,3.86e-09
RNF25,Skin,-0.7971064,8.7e-06
RNF39,Skin,-0.6615342,0.00232
RNFT1,Skin,-2.0408576,0.000706
RPLP0P2,Skin,-0.85382779,3.31e-05
RPRD2,Skin,-0.7540205,3.49e-05
RPRM,Skin,0.8229624,0.00338
RRP9,Skin,-0.7137827,0.0445
RUNX2,Skin,-0.61381312,1.27e-13
RUSF1,Skin,-0.820145,1.93e-05
SAA2-SAA4,Skin,-2.14259701,3.86e-10
SAPCD1-AS1,Skin,0.722464,1.98e-14
SEPTIN11,Skin,-0.8086569,1.65e-22
SERPINB9P1,Skin,-0.65028275,0.000477
SGF29,Skin,-0.781389,0.000194
SIRPB2,Skin,-0.88184131,7.9e-11
SLC12A5-AS1,Skin,-1.16416625,6.89e-10
SLC12A6,Skin,-0.8696615,4.22e-05
SLC26A3,Skin,0.67435561,0.0334
SLC2A2,Skin,-0.8111014,0.0464
SLC35A2,Skin,-0.9646412,2.19e-05
SLC3A1,Skin,-0.8016375,0.00279
SLC67A1-AS,Skin,-1.3710732,0.00197
SLC7A4,Skin,-1.2363772,0.0156
SLC9A7,Skin,-1.3564898,0.0329
SLC9D1,Skin,-1.2218442,2.05e-05
SLFN12L,Skin,-0.72149283,2.46e-07
SMAD3,Skin,-0.6924483,5.07e-05
SNORD151,Skin,-0.70581255,7.47e-07
SNORD156,Skin,-0.91742835,3.02e-05
SNORD166,Skin,0.63408299,8.43e-08
SP5,Skin,1.41967283,5.73e-22
SP9,Skin,0.65636778,0.000658
SPART,Skin,-0.8630945,0.000117
SPATA20,Skin,-0.6099832,0.000782
SPDEF,Skin,-1.1508596,0.0178
SPRR2A,Skin,-0.79469764,0.0225
SPRR2B,Skin,-0.76808328,0.0237
SSTR4,Skin,-1.1323904,0.00924
STC2,Skin,-1.6922775,4.9e-13
STEAP1B-AS1,Skin,-1.3412066,1.06e-13
STXBP5L,Skin,0.83024889,1.06e-06
SULF2,Skin,-0.6290526,2.79e-14
SYBU-AS1,Skin,0.81067766,1.12e-09
SYN2,Skin,-0.7366671,0.00578
TAAR2,Skin,-1.9997928,0.00207
TAF7L,Skin,-0.6378444,0.0167
TAS2R9,Skin,-1.6723958,0.0177
TCHH,Skin,-1.68954561,0.0248
TENM3-AS1,Skin,-1.40789339,1.04e-12
TFF2,Skin,0.9818303,0.0489
THBS4-AS1,Skin,-0.62470403,0.000195
THSD7B,Skin,-0.62269625,9.65e-06
TIMM17B,Skin,-0.7147132,5.71e-05
TLCD1,Skin,-0.954,0.030202
TMEM151B,Skin,-0.6981408,0.0434
TMEM176A,Skin,-1.1594744,5.99e-25
TMEM176B,Skin,-1.18864193,8.95e-21
TMEM236,Skin,-0.90918615,1.74e-15
TMEM265,Skin,-0.5892446,0.000481
TMEM271,Skin,0.79764502,2.53e-08
TMEM99,Skin,-1.2,0.034034
TNFRSF4,Skin,-0.67302085,1.3e-07
TNN,Skin,-0.8160778,0.000297
TOP3B,Skin,-2.4719322,0.000117
TPRG1-AS1,Skin,-0.67036743,2.61e-06
TPSG1,Skin,1.23913316,4.86e-11
TRARG1,Skin,-2.26794321,1.16e-10
TRAV9-2,Skin,-1.6771461,0.00989
TRIB2,Skin,-0.60721137,3.41e-16
TRPC4AP,Skin,-0.6025708,0.000444
TTI1,Skin,-0.7437255,5.94e-05
TUBA8,Skin,-1.5697312,0.00753
TUBB,Skin,-0.6208653,7.01e-06
TUT4,Skin,-0.6891345,0.000687
VLDLR-AS1,Skin,-0.70619181,9.48e-05
VN1R1,Skin,-0.7187235,0.0418
WASL,Skin,-0.9158472,0.0308
XYLB,Skin,-1.5179611,0.00875
YBX2,Skin,-0.8407159,0.0101
YWHAE,Skin,-0.8224831,0.000307
YY2,Skin,-0.5950373,0.00866
ZFHX4,Skin,-0.76348113,4.29e-11
ZFTRAF1,Skin,-0.6137313,0.000893
ZNF154,Skin,-1.303157,0.0368
ZNF480,Skin,-0.8154091,0.0128
ZNHIT2,Skin,0.5955249,0.0433
AATK,Kidney,2.5127151,1.54e-05
ABCC10,Kidney,0.7418474,0.000587
ABCC12,Kidney,-1.4709667,0.000999
ABCC3,Kidney,0.79676076,0.00116
ABHD14A///ACY1,Kidney,-1.272544,0.00589436
ABHD17C,Kidney,-1.0318567,0.0082
ABHD3,Kidney,-0.7279994,0.0267
ABHD5,Kidney,-0.8059702,0.00706
ABLIM1,Kidney,-0.8342221,0.0016
ABRACL,Kidney,-0.9618629,0.039
ABT1,Kidney,-0.8019363,0.000102
ABTB1,Kidney,1.0476519,0.0134
ACAD10,Kidney,1.5150815,0.00723
ACAD9,Kidney,1.1904932,0.00136
ACD,Kidney,0.968,0.00425
ACOX3,Kidney,-1.184066,3.26e-05
ACP6,Kidney,1.1678811,0.00186
ACTA2-AS1,Kidney,-1.6378511,0.00113
ACTG1///ACTB,Kidney,1.3103962,0.0054526
ACTG1P25,Kidney,1.4836135,0.0233
ACTL8,Kidney,-1.4482919,0.00577
ACTN1,Kidney,1.309376,1.22e-06
ACTN2,Kidney,-0.7214519,0.00681139
ACTR1A,Kidney,-1.0155236,5.56e-05
ACTR1B,Kidney,0.8551204,0.0091
ACTR3C,Kidney,-0.5950754,0.00948
ACTR5,Kidney,0.9561991,0.00019
ACTRT1,Kidney,-1.5313163,0.000915
ACTRT3,Kidney,-0.7298908,0.00225
ACYP2,Kidney,-0.8605252,7.73e-05
ADAD1,Kidney,-1.2729848,0.0148
ADAM22,Kidney,-1.0331186,0.000353
ADAM23,Kidney,-1.0833145,0.0123
ADAM5,Kidney,-1.5577333,0.000824
ADAMTS13,Kidney,0.6942893,0.00433
ADAMTS19,Kidney,-0.7316973,0.0171
ADAMTS9-AS2,Kidney,-1.8,0.00438
ADARB1,Kidney,-1.5076427,0.00066
ADCK1,Kidney,0.7310103,0.0316
ADCY3,Kidney,0.59288404,7.36e-05
